Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10UF,C_0805_2012Metric,141.25,-43.5,-90,top
C2,100NF,C_0805_2012Metric,143.5,-43.5,-90,top
C3,100NF,C_0805_2012Metric,145.75,-43.5,-90,top
C4,10UF,C_0805_2012Metric,150.95,-51.79,180,top
C5,100NF,C_0805_2012Metric,141.25,-102.25,0,top
C6,100NF,C_0805_2012Metric,141.25,-104.5,0,top
C7,10UF,C_0805_2012Metric,131.3125,-95.315749,90,top
C8,10UF,C_0805_2012Metric,131.329626,-99.090749,-90,top
C9,2.2NF,C_0805_2012Metric,156.4,-96.05,-90,top
C10,2.2NF,C_0805_2012Metric,163.15,-96.05,-90,top
C11,10UF,C_0805_2012Metric,158.65,-96.05,90,top
C12,10UF,C_0805_2012Metric,160.9,-96.05,90,top
C13,100NF,C_0805_2012Metric,151.8,-102.25,180,top
C14,100NF,C_0805_2012Metric,151.75,-104.5,180,top
C15,10UF,C_0805_2012Metric,133.6,-109.8,90,top
C16,10UF,C_0805_2012Metric,131.25,-103.25,-90,top
C17,100NF,C_0805_2012Metric,134.91,-70.75,180,top
C18,10NF,C_0805_2012Metric,119.5,-85,90,top
C19,10NF,C_0805_2012Metric,121.75,-85,-90,top
D1,1N5817,D_SOD-123,138.6,-44.25,-90,top
D2,1N4148,D_SOD-123,123.25,-57,90,top
D3,1N4007,D_SOD-123F,116,-110.75,90,top
D4,1N4007,D_SOD-123F,116,-98.75,90,top
J1,Barrel_Jack_Switch,Generic_PowerJack,130.244,-50.24,-90,top
J2,AUDIO_IN_TRS,NEUTRIK_NMJ6HCD2,125.4,-124.977064,180,top
J3,MIDI IN JACK,PJ-320A,121.75,-48.516,-90,top
J4,AUDIO_OUT_TRS,NEUTRIK_NMJ6HCD2,158.6,-125,0,top
J5,MIDI OUT JACK,PJ-320A,162.25,-48.516,-90,top
J6,Conn_01x20_Socket,PinSocket1x20_P2.54mm_Vertical_JLCPCB,138.38,-74.01,0,top
J7,Conn_01x20_Socket,PinSocket1x20_P2.54mm_Vertical_JLCPCB,138.36,-89.26,180,top
K1,G6K-2,Relay_DPDT_Omron_G6K-2G-Y,122.75,-97,0,top
K2,G6K-2,Relay_DPDT_Omron_G6K-2G-Y,122.7,-109,0,top
Q1,SS8050,SOT-23-3,115.1375,-102.95,180,top
R1,2M,R_0805_2012Metric,129.1025,-95.315749,90,top
R2,2M,R_0805_2012Metric,129.079626,-99.090749,-90,top
R3,100K,R_0805_2012Metric,138,-103.25,90,top
R4,2M,R_0805_2012Metric,133.6025,-95.315749,90,top
R5,2M,R_0805_2012Metric,133.579626,-99.090749,-90,top
R6,100K,R_0805_2012Metric,135.75,-103.25,-90,top
R7,3.3K,R_0805_2012Metric,158.1125,-92.4,180,top
R8,3.3K,R_0805_2012Metric,161.6125,-92.4,0,top
R9,2M,R_0805_2012Metric,156.4,-99.6,90,top
R10,2M,R_0805_2012Metric,158.65,-99.6125,-90,top
R11,2M,R_0805_2012Metric,163.15,-99.6,90,top
R12,2M,R_0805_2012Metric,160.9,-99.6125,-90,top
R13,100R,R_0805_2012Metric,135.8,-109.8,-90,top
R14,100R,R_0805_2012Metric,133.5,-103.25,90,top
R15,2M,R_0805_2012Metric,130.2,-107,180,top
R16,2M,R_0805_2012Metric,129,-103.25,90,top
R17,220R,R_0805_2012Metric,120.75,-56.5,-90,top
R18,10R,R_0805_2012Metric,162.25,-57.75,180,top
R19,33R,R_0805_2012Metric,168.5,-49.25,0,top
R20,470R,R_0805_2012Metric,128.25,-70.75,0,top
R21,1K,R_0805_2012Metric,113.75,-94,-90,top
R22,1K,R_0805_2012Metric,159,-105.5,180,top
R23,1K,R_0805_2012Metric,164,-105.5,0,top
R24,1K,R_0805_2012Metric,143.25,-78,90,top
R25,1K,R_0805_2012Metric,140.5,-78.0875,90,top
R26,10K,R_0805_2012Metric,117.25,-85,90,top
R27,10K,R_0805_2012Metric,124,-84.9125,-90,top
R28,10K,R_0805_2012Metric,115,-85,-90,top
R29,10K,R_0805_2012Metric,126.25,-84.9125,90,top
U1,LD1117S50TR_SOT223,SOT-223-3_TabPin2,151,-46,90,top
U2,MCP6004,SOIC-14_3.9x8.7mm_P1.27mm,139.5625,-97.265749,0,top
U3,OPA1652AID,SOIC-8_3.9x4.9mm_P1.27mm,151,-97.25,180,top
U4,H11L1,SOP-6_2.54mm,132,-63.25,180,top
U5,CPC1018N,SOP-4_3.8x4.1mm_P2.54mm,159,-110.5,180,top
U6,CPC1018N,SOP-4_3.8x4.1mm_P2.54mm,164.02,-110.5,180,top